target_name,table_name,source_column,row_count,candidate_time_columns
drh_applet_user.phone,drh_applet_user,phone,16587635,"create_time:timestamp,add_time:datetime"
drh_submit_time.phone,drh_submit_time,phone,7282965,create_time:timestamp
drh_short_message_operation.phone,drh_short_message_operation,phone,6751436,create_time:timestamp
drh_live_works_user.phone,drh_live_works_user,phone,4647237,create_time:timestamp
drh_h5_order.phone,drh_h5_order,phone,4445703,create_time:timestamp
drh_live_user.app_phone,drh_live_user,app_phone,4220768,create_time:timestamp
drh_live_user.phone,drh_live_user,phone,4220768,create_time:timestamp
drh_voice_robot_task_user.phone,drh_voice_robot_task_user,phone,747272,create_time:timestamp
drh_xe_order.phone,drh_xe_order,phone,566864,create_time:timestamp
drh_sms_trigger_user.phone,drh_sms_trigger_user,phone,464042,create_time:timestamp
drh_book_question_record.phone,drh_book_question_record,phone,386830,create_time:datetime
drh_sms_trigger_user_callback.phone,drh_sms_trigger_user_callback,phone,303483,create_time:timestamp
drh_real_address_record.phone,drh_real_address_record,phone,178008,create_time:datetime
drh_leads_noqw_send_msg_task_detail.phone,drh_leads_noqw_send_msg_task_detail,phone,132797,create_time:timestamp
drh_user_form.phone,drh_user_form,phone,96216,create_time:timestamp
order_book_reissue_detail.phone,order_book_reissue_detail,phone,94180,create_time:timestamp
drh_external_book_question_record.phone,drh_external_book_question_record,phone,93944,create_time:datetime
drh_voice_robot_callback_details.phone,drh_voice_robot_callback_details,phone,90343,create_time:timestamp
drh_sms_deal.phone,drh_sms_deal,phone,79032,create_time:timestamp
drh_qwb_phone_info.phone,drh_qwb_phone_info,phone,74384,create_time:timestamp
drh_order_refund_record.phone,drh_order_refund_record,phone,54197,create_time:timestamp
drh_gx_channel.phone,drh_gx_channel,phone,13400,create_time:timestamp
drh_ad_form_answer.phone,drh_ad_form_answer,phone,6613,create_time:timestamp
drh_applet_small_user.phone,drh_applet_small_user,phone,5667,create_time:timestamp
drh_ad_count.phone,drh_ad_count,phone,4264,create_time:timestamp
drh_user_address.receiver_phone,drh_user_address,receiver_phone,3354,create_time:timestamp
drh_applet_player.phone,drh_applet_player,phone,3249,create_time:timestamp
drh_user.phone,drh_user,phone,2754,create_time:datetime
drh_book_edit_address_compensation.phone,drh_book_edit_address_compensation,phone,2249,create_time:timestamp
drh_user_assistant.phone,drh_user_assistant,phone,2227,
drh_temp_phone.phone,drh_temp_phone,phone,1570,create_time:timestamp
drh_sph_supplier_info.phone,drh_sph_supplier_info,phone,1320,create_time:timestamp
drh_applet_black_phone.phone,drh_applet_black_phone,phone,891,
drh_wechat_complaint_order.phone,drh_wechat_complaint_order,phone,294,create_time:timestamp
drh_goods_user_coupon.phone,drh_goods_user_coupon,phone,179,
app_study_info.phone,app_study_info,phone,90,create_time:timestamp
drh_applet_order.phone,drh_applet_order,phone,61,create_time:timestamp
drh_koc.phone,drh_koc,phone,57,create_time:datetime
drh_order_user_address.receiver_phone,drh_order_user_address,receiver_phone,27,create_time:timestamp
drh_register_works.phone,drh_register_works,phone,15,create_time:timestamp
drh_import_address_record_detail.phone,drh_import_address_record_detail,phone,5,create_time:datetime
drh_app_white.phone,drh_app_white,phone,0,create_time:datetime
drh_mall_order.reciver_phone,drh_mall_order,reciver_phone,0,create_time:timestamp
drh_renew_data.phone,drh_renew_data,phone,0,create_time:datetime
drh_user_service_record.phone,drh_user_service_record,phone,0,create_time:timestamp
